".\VolumeSampling.exe -i .\sphere.obj -o sphere.vtk --viscosity 0.05 -r 0.04 -s "0.8 0.8 0.8""
"id","Points:0","Points:1","Points:2"
0,-0.099081,-0.10286,-0.73564
1,-0.030529,-0.1067,-0.74613
2,0.030511,-0.10702,-0.7461
3,0.094925,-0.10313,-0.73627
4,0.16349,-0.099861,-0.7257
5,-0.16802,0.0082111,-0.73212
6,-0.1015,0.014798,-0.74214
7,-0.03151,0.013038,-0.75336
8,0.028845,0.012807,-0.7538
9,0.095681,0.026689,-0.74212
10,0.16662,0.0079877,-0.73236
11,-0.11247,0.12653,-0.73038
12,-0.040198,0.12975,-0.74106
13,0.014978,0.14894,-0.74044
14,0.10328,0.12654,-0.73184
15,-0.14055,-0.35563,-0.64755
16,-0.037479,-0.35512,-0.66423
17,0.035043,-0.35316,-0.66569
18,0.13865,-0.35718,-0.64694
19,-0.065804,-0.27427,-0.69546
20,0.00013891,-0.2584,-0.71248
21,0.066944,-0.27268,-0.69594
22,-0.23258,-0.24408,-0.67787
23,-0.18013,-0.23321,-0.69391
24,-0.11586,-0.23711,-0.70298
25,-0.044187,-0.21648,-0.71963
26,0.039586,-0.21597,-0.72048
27,0.11273,-0.23123,-0.70522
28,0.17396,-0.2357,-0.69414
29,0.22889,-0.24632,-0.67843
30,-0.20674,-0.16265,-0.70682
31,-0.13512,-0.17535,-0.71508
32,-0.0724,-0.16318,-0.72793
33,0.0005921,-0.1664,-0.73872
34,0.072072,-0.16464,-0.72763
35,0.13596,-0.16706,-0.71693
36,0.19788,-0.16809,-0.70688
37,-0.31159,-0.11018,-0.67329
38,-0.25869,-0.11032,-0.70023
39,-0.20967,-0.089989,-0.71913
40,-0.15742,-0.1172,-0.7248
41,-0.053638,-0.10267,-0.67927
42,0.030578,-0.10269,-0.67958
43,0.11604,-0.106,-0.66944
44,0.22041,-0.10642,-0.71586
45,0.26926,-0.11387,-0.69438
46,0.3225,-0.11329,-0.66733
47,-0.26867,-0.033199,-0.70199
48,-0.21613,-0.026242,-0.72304
49,-0.13755,-0.049061,-0.73373
50,-0.066771,-0.042089,-0.74549
51,-0.00061067,-0.047537,-0.75573
52,0.065119,-0.040094,-0.74591
