".\VolumeSampling.exe -i .\Dragon_50k.obj -o Dragon_50k.vtk --viscosity 0.05 -r 0.04 -s "2.5 2.5 2.5""
"id","Points:0","Points:1","Points:2"
167,-0.56935,1.9472,-0.46369
168,-0.56389,0.059416,-0.38008
169,-0.50106,0.050662,-0.37957
170,-0.43289,0.051167,-0.39553
171,-1.1496,0.12837,-0.38896
172,-1.0905,0.1421,-0.39212
173,-0.76811,0.13587,-0.42471
174,-0.71081,0.11037,-0.40108
175,-0.63261,0.082931,-0.38871
176,-0.54556,0.12392,-0.40939
177,-0.45983,0.11225,-0.40927
178,-0.37486,0.087061,-0.39016
179,-0.32344,0.11331,-0.42488
180,-1.2045,0.15165,-0.3571
181,-1.1086,0.19655,-0.35895
182,-1.0221,0.14822,-0.3652
183,-0.95677,0.17611,-0.3552
184,-0.88529,0.18383,-0.35299
185,-0.81705,0.15783,-0.374
186,-0.75719,0.13701,-0.3648
187,-0.65608,0.16512,-0.39453
188,-0.58043,0.17075,-0.36951
189,-0.49709,0.1642,-0.36111
190,-0.41679,0.16856,-0.36744
191,-0.3326,0.1503,-0.36092
192,-0.2772,0.19177,-0.38247
193,0.47814,0.1852,-0.33671
194,0.54993,0.20291,-0.34755
195,0.63326,0.18048,-0.32047
196,0.74609,0.19907,-0.36828
197,0.80515,0.17124,-0.36196
198,0.8722,0.18212,-0.35884
199,-1.0452,0.20524,-0.36706
200,-0.98002,0.21675,-0.37213
201,-0.91949,0.20332,-0.41088
202,-0.84712,0.23757,-0.39171
203,-0.77246,0.21965,-0.42084
204,-0.70393,0.22345,-0.42453
205,-0.63791,0.23264,-0.38665
206,-0.53903,0.26203,-0.39728
207,-0.47287,0.23441,-0.4005
208,-0.40807,0.25533,-0.40993
209,-0.33462,0.26301,-0.39869
210,-0.23921,0.23378,-0.40238
211,0.45688,0.24785,-0.36857
212,0.52286,0.26009,-0.39345
213,0.60529,0.25053,-0.41934
214,0.68095,0.22579,-0.42218
215,0.76849,0.25866,-0.41615
216,0.83629,0.19931,-0.39936
217,-0.87416,0.31838,-0.37325
218,-0.81703,0.29719,-0.39269
219,-0.74792,0.27701,-0.3775
220,-0.66909,0.29557,-0.36112
221,-0.58497,0.31803,-0.37096
222,-0.51166,0.30157,-0.33669
223,-0.42796,0.31111,-0.3421
224,-0.36278,0.31179,-0.36236
225,-0.28413,0.30467,-0.36074
226,-0.20974,0.29344,-0.36384
227,0.3974,0.299,-0.35775
228,0.44675,0.30779,-0.39135
229,0.57441,0.31208,-0.37269
230,0.65988,0.31651,-0.40737
231,0.73066,0.31216,-0.388
232,0.7936,0.31775,-0.34926
233,-0.89403,0.38122,-0.39562
234,-0.84071,0.37684,-0.42478
235,-0.75668,0.37199,-0.37481
236,-0.68884,0.39867,-0.41127
237,-0.63835,0.36044,-0.4005
238,-0.29404,0.36765,-0.40763
239,-0.21598,0.34906,-0.4063
240,-0.16625,0.3819,-0.35864
241,0.39374,0.36812,-0.366
242,0.45708,0.37293,-0.39687
243,0.52678,0.38036,-0.41054
244,0.60744,0.37898,-0.41005
245,0.68962,0.38123,-0.41294
246,0.75776,0.37901,-0.38609
247,-0.9631,0.4513,-0.36786
248,-0.913,0.4392,-0.40348
249,-0.81266,0.43133,-0.36223
250,-0.72373,0.46838,-0.37948
251,-0.67134,0.42885,-0.3631
252,-0.49158,0.42363,-0.32431
253,-0.42614,0.43758,-0.3393
254,-0.36793,0.44481,-0.35436
255,-0.30462,0.43715,-0.38863
256,-0.18221,0.45274,-0.3755
257,-0.11838,0.43354,-0.35685
258,-0.062243,0.43935,-0.33537
