".\VolumeSampling.exe -i .\sphere.obj -o sphere.vtk --viscosity 0.05 -r 0.03 -s "0.74 0.74 0.74""
"id","Points:0","Points:1","Points:2"
161,-0.1583,-0.17401,-0.63321
162,-0.090637,-0.16629,-0.62567
163,-0.029466,-0.17381,-0.63171
164,0.030819,-0.1742,-0.63048
165,0.091545,-0.16582,-0.62607
166,0.1584,-0.17221,-0.62872
167,0.21222,-0.19074,-0.6467
168,0.24644,-0.16107,-0.63798
169,0.28628,-0.17971,-0.61266
170,-0.37456,-0.11382,-0.58528
171,-0.33548,-0.11501,-0.60489
172,-0.29402,-0.12803,-0.62253
173,-0.23263,-0.12098,-0.59842
174,-0.17487,-0.11906,-0.6094
175,-0.11826,-0.12017,-0.61031
176,-0.0565,-0.12102,-0.61566
177,-0.00042949,-0.12098,-0.59582
178,0.057499,-0.12093,-0.61333
179,0.11951,-0.11975,-0.60966
180,0.17649,-0.11825,-0.60917
181,0.23392,-0.12082,-0.59783
182,0.29508,-0.12736,-0.62217
183,0.33664,-0.114,-0.60456
184,0.37552,-0.11361,-0.58485
185,-0.31231,-0.077184,-0.62068
186,-0.26943,-0.06608,-0.64347
187,-0.2051,-0.067079,-0.61913
188,-0.14341,-0.06852,-0.63437
189,-0.085571,-0.0776,-0.63756
190,-0.028736,-0.072419,-0.6403
191,0.030341,-0.071012,-0.63878
192,0.086707,-0.078826,-0.63747
193,0.1445,-0.067921,-0.63428
194,0.20616,-0.066698,-0.61863
195,0.27138,-0.066118,-0.64248
196,0.31383,-0.076524,-0.61997
197,-0.38179,-0.011813,-0.59098
198,-0.33956,-0.02928,-0.61096
199,-0.30013,-0.026539,-0.63129
200,-0.23847,-0.019473,-0.60322
201,-0.17452,-0.019066,-0.61226
202,-0.11697,-0.021163,-0.61604
203,-0.059321,-0.020308,-0.59813
204,-0.00010456,-0.02204,-0.60357
205,0.059371,-0.020197,-0.59797
206,0.11816,-0.021112,-0.61469
207,0.1757,-0.018811,-0.61208
208,0.23966,-0.019376,-0.6027
209,0.30125,-0.025677,-0.63079
210,0.34092,-0.029464,-0.61025
211,0.3835,-0.011803,-0.5901
212,-0.34478,0.019708,-0.60913
213,-0.30439,0.021384,-0.62957
214,-0.26327,0.036617,-0.64919
215,-0.20625,0.028787,-0.62191
216,-0.1449,0.029552,-0.63654
217,-0.089004,0.029014,-0.63651
218,-0.028976,0.027179,-0.63808
219,0.030874,0.027062,-0.63753
220,0.09061,0.029035,-0.6358
221,0.14626,0.029661,-0.63634
222,0.20753,0.028946,-0.62141
223,0.26436,0.036154,-0.64868
224,0.30571,0.021805,-0.62886
225,0.34628,0.019181,-0.60842
226,-0.37647,0.092828,-0.58673
227,-0.33883,0.073783,-0.60745
228,-0.29938,0.072775,-0.62763
229,-0.23507,0.082713,-0.60102
230,-0.17788,0.080055,-0.61233
231,-0.11901,0.079807,-0.61454
232,-0.059881,0.079375,-0.59435
233,4.1947e-05,0.080951,-0.60164
234,0.060016,0.079452,-0.59426
235,0.12024,0.079973,-0.6137
236,0.17902,0.080118,-0.61219
237,0.23607,0.082916,-0.60047
238,0.3005,0.072754,-0.62706
239,0.34016,0.073538,-0.6068
240,0.37783,0.092678,-0.58605
241,-0.29533,0.123,-0.6232
242,-0.25494,0.13711,-0.64009
243,-0.21674,0.13124,-0.66011
244,-0.15281,0.12881,-0.62466
245,-0.088861,0.13064,-0.63146
246,-0.027233,0.13436,-0.6371
247,0.028807,0.13436,-0.63678
248,0.090201,0.13113,-0.63104
249,0.15404,0.12892,-0.62432
250,0.21765,0.13149,-0.65974
251,0.25602,0.13612,-0.6398
252,0.29659,0.12236,-0.62273
253,-0.32448,0.17282,-0.59506
254,-0.28487,0.18074,-0.6131
255,-0.24455,0.18453,-0.63266
256,-0.18055,0.1825,-0.60237
257,-0.119,0.1805,-0.61088
258,-0.059406,0.17665,-0.60986
259,0.0009542,0.18215,-0.61432
260,0.060898,0.17703,-0.60926
261,0.12032,0.18093,-0.6103
262,0.18157,0.18311,-0.60193
263,0.2455,0.1839,-0.63234
264,0.28619,0.17901,-0.61289
265,0.32603,0.17275,-0.59429
266,-0.23719,0.2312,-0.62176
267,-0.19854,0.22597,-0.64037
268,-0.14132,0.20898,-0.655
269,-0.10266,0.23548,-0.65189
270,-0.039034,0.22788,-0.62411
271,0.041145,0.22855,-0.62451
272,0.10203,0.23584,-0.65184
273,0.14119,0.20749,-0.6554
274,0.19871,0.22559,-0.64048
275,0.23798,0.2302,-0.62181
276,-0.26339,0.27715,-0.58731
277,-0.22165,0.2797,-0.60774
278,-0.18103,0.28436,-0.61927
279,-0.1336,0.28491,-0.62651
280,-0.066495,0.27499,-0.59085
281,0.0013743,0.27148,-0.59738
282,0.069168,0.27445,-0.59069
283,0.13911,0.28511,-0.62555
284,0.18739,0.27745,-0.62104
285,0.22905,0.27889,-0.60401
286,0.26964,0.27407,-0.58554
287,-0.19524,0.32243,-0.59869
288,-0.12229,0.32443,-0.61093
289,-0.069337,0.32383,-0.6201
290,-0.021378,0.32379,-0.62784
291,0.022434,0.3238,-0.62767
292,0.069035,0.32356,-0.62028
293,0.11833,0.3237,-0.61197
294,0.20029,0.31642,-0.60006
295,-0.1549,0.35611,-0.58696
296,-0.09549,0.36355,-0.59181
297,-0.045979,0.36736,-0.59732
298,-0.00041257,0.36754,-0.60458
299,0.047344,0.36737,-0.5971
300,0.096465,0.36383,-0.59148
301,0.17978,0.35817,-0.58188
302,-0.2102,-0.41521,-0.53001
303,-0.1656,-0.42004,-0.5448
304,-0.10843,-0.43444,-0.54256
305,-0.05191,-0.44279,-0.54426
306,-0.00017215,-0.44148,-0.55364
307,0.052244,-0.44294,-0.54408
308,0.10874,-0.43436,-0.54258
309,0.16659,-0.42029,-0.54444
310,0.21175,-0.4174,-0.52747
311,-0.24862,-0.35895,-0.54924
312,-0.18778,-0.37354,-0.57009
313,-0.14595,-0.36086,-0.58546
314,-0.12537,-0.39982,-0.56478
315,-0.036643,-0.38283,-0.58933
316,0.031856,-0.38395,-0.58941
317,0.12595,-0.40002,-0.56456
318,0.14198,-0.36026,-0.58646
319,0.1841,-0.37302,-0.57165
320,0.25465,-0.35841,-0.54653
321,-0.32287,-0.31216,-0.54065
322,-0.28441,-0.32983,-0.55056
323,-0.24063,-0.32205,-0.57762
324,-0.17646,-0.31922,-0.54375
325,-0.11489,-0.32277,-0.55522
326,-0.055091,-0.32547,-0.56002
327,4.0008e-05,-0.32722,-0.54109
328,0.057417,-0.32514,-0.55821
329,0.11684,-0.32293,-0.55425
330,0.18072,-0.32289,-0.54227
331,0.2424,-0.3221,-0.57671
332,0.28707,-0.32734,-0.5507
333,0.32553,-0.31187,-0.53945
334,-0.3586,-0.25889,-0.54794
335,-0.31314,-0.26821,-0.56606
336,-0.27134,-0.28446,-0.5799
337,-0.21011,-0.27557,-0.56489
338,-0.14636,-0.27179,-0.57518
339,-0.088191,-0.27478,-0.58411
340,-0.031535,-0.26955,-0.5806
341,0.032769,-0.26768,-0.57833
342,0.089385,-0.27427,-0.58337
343,0.14789,-0.27219,-0.57398
