"id","Points:0","Points:1","Points:2"
170,-0.71043,0.32917,-0.45198
171,-0.65577,0.33254,-0.44316
172,-0.60798,0.31644,-0.42876
173,-0.29233,0.31503,-0.44022
174,-0.25245,0.32399,-0.45229
175,-0.21781,0.32253,-0.42896
176,0.46282,0.3237,-0.42232
177,0.48889,0.32678,-0.45572
178,0.54434,0.33214,-0.45243
179,0.60171,0.32038,-0.44475
180,0.65068,0.30598,-0.44175
181,0.71325,0.29724,-0.43968
182,-0.78774,0.38501,-0.45077
183,-0.74034,0.37041,-0.45004
184,-0.27516,0.3785,-0.44965
185,-0.23929,0.37138,-0.44664
186,-0.87205,0.42661,-0.43333
187,-0.82287,0.42766,-0.44693
188,-0.7688,0.43197,-0.44581
189,-0.71867,0.41939,-0.43021
190,-0.2882,0.42483,-0.43979
191,-0.2459,0.42299,-0.44585
192,0.48859,0.4251,-0.42213
193,0.54465,0.42226,-0.42424
194,0.61012,0.4246,-0.4307
195,0.66031,0.42518,-0.43835
196,0.71079,0.42381,-0.43168
197,-0.26417,0.46544,-0.44671
198,-0.88194,0.50881,-0.42715
199,-0.82783,0.50396,-0.42416
200,-0.2598,0.50676,-0.43086
201,0.4928,0.51986,-0.42536
202,0.54273,0.52495,-0.42951
203,0.59416,0.52486,-0.42393
204,0.6602,0.50152,-0.42599
205,0.70887,0.50198,-0.4237
206,0.54833,0.6147,-0.42671
207,0.60029,0.6206,-0.43155
208,0.6513,0.62319,-0.42623
209,0.60569,0.71151,-0.42602
210,0.65598,0.71736,-0.42903
211,0.70593,0.72335,-0.42215
212,-0.02291,0.82,-0.41638
213,0.033517,0.82336,-0.41959
214,0.66631,0.80819,-0.42146
215,0.7152,0.81424,-0.42431
216,0.76357,0.81996,-0.42005
217,-0.014501,0.92085,-0.4178
218,0.037355,0.92021,-0.42602
219,0.090349,0.92116,-0.425
220,0.72622,0.91285,-0.41938
221,0.77434,0.91706,-0.42126
222,0.037495,1.019,-0.42201
223,0.09149,1.0188,-0.42681
224,0.14229,1.0191,-0.42639
225,0.19386,1.0248,-0.41842
226,0.76929,1.0191,-0.4222
227,0.8194,1.0204,-0.41736
228,0.094452,1.1147,-0.42535
229,0.14659,1.1163,-0.43194
230,0.19881,1.1167,-0.43117
231,0.24906,1.1251,-0.42369
232,0.72866,1.1167,-0.41935
233,0.77345,1.1109,-0.42522
234,0.82104,1.1105,-0.41856
235,0.15007,1.2088,-0.42813
236,0.20341,1.2114,-0.43452
237,0.25926,1.2125,-0.43518
238,0.31195,1.2178,-0.43231
239,0.36467,1.2293,-0.42552
240,0.66643,1.225,-0.42141
241,0.71704,1.2163,-0.42369
242,0.76873,1.2095,-0.41918
243,0.21134,1.3016,-0.42509
244,0.26412,1.3094,-0.43278
245,0.31664,1.3139,-0.43811
246,0.37388,1.3132,-0.43795
247,0.42931,1.3137,-0.43383
248,0.48505,1.3164,-0.43362
249,0.54218,1.3183,-0.42995
250,0.59953,1.3212,-0.42996
251,0.65766,1.3134,-0.42807
252,0.71231,1.3142,-0.42507
253,-0.47444,1.4365,-0.44771
254,0.32206,1.3968,-0.42659
255,0.37739,1.4051,-0.43343
256,0.43274,1.405,-0.43418
257,0.488,1.4069,-0.43773
258,0.54214,1.4113,-0.43678
259,0.59627,1.4068,-0.43199
260,0.64841,1.4019,-0.4239
261,-0.50693,1.4749,-0.44767
262,-0.4597,1.4733,-0.45434
263,-0.54048,1.5136,-0.44785
264,-0.48308,1.5134,-0.46506
265,-0.41832,1.4939,-0.4533
266,-0.37932,1.5235,-0.44887
267,-0.50698,1.5608,-0.46238
268,-0.45417,1.5568,-0.48432
269,-0.40617,1.5634,-0.49665
270,-0.37373,1.5599,-0.46812
271,-0.57792,1.6087,-0.43917
272,-0.54085,1.6086,-0.46004
273,-0.486,1.6069,-0.45375
274,-0.42718,1.6057,-0.45165
275,-0.37753,1.6072,-0.44516
276,-0.50412,1.652,-0.46738
277,-0.4541,1.6548,-0.49152
278,-0.391,1.6589,-0.4668
279,-0.34775,1.6326,-0.49134
280,-0.59303,1.7089,-0.4399
281,-0.55376,1.6975,-0.45916
282,-0.47732,1.7029,-0.44541
283,-0.41913,1.7161,-0.42938
284,-0.38679,1.7062,-0.44694
285,-0.57282,1.751,-0.44875
286,-0.50563,1.7495,-0.46571
287,-0.46496,1.7654,-0.48334
288,-0.40148,1.7559,-0.45485
289,-0.59027,1.7939,-0.45108
290,-0.53739,1.7988,-0.45573
291,-0.4729,1.8192,-0.43767
292,-0.4296,1.8027,-0.44181
293,-0.62685,1.8612,-0.4021
294,-0.60814,1.8664,-0.40981
295,-0.59125,1.8607,-0.41515
296,-0.59296,1.9445,-0.45256
297,-0.56695,1.9497,-0.4578
298,-0.58848,0.054345,-0.39178
299,-0.53605,0.038418,-0.39096
300,-0.48182,0.036606,-0.39723
301,-0.42983,0.040019,-0.39533
302,-0.38299,0.046612,-0.41115
303,-0.7254,0.10241,-0.41963
304,-0.67817,0.081092,-0.41906
305,-0.63262,0.063705,-0.41915
306,-0.56892,0.07719,-0.41902
307,-0.50948,0.077049,-0.41492
308,-0.45166,0.078162,-0.41767
309,-0.38792,0.084042,-0.41364
310,-0.3355,0.082191,-0.42435
311,-1.2026,0.13726,-0.37554
312,-1.1618,0.12021,-0.38658
313,-1.111,0.12462,-0.38917
314,-1.0562,0.13647,-0.38916
315,-1.0007,0.14995,-0.38452
316,-0.82029,0.14549,-0.38491
317,-0.76896,0.1216,-0.3891
318,-0.72094,0.10787,-0.37805
319,-0.65175,0.12691,-0.3885
320,-0.59472,0.12409,-0.38783
321,-0.5374,0.12526,-0.38748
322,-0.48043,0.12458,-0.38806
323,-0.42246,0.12848,-0.38953
324,-0.34987,0.11196,-0.37956
325,-0.31104,0.13291,-0.40017
